generation,member,_risk_,pump_rate,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
19,gen=58_member=216_de,0.250524,384.964,1,0.154729,0.0245895,0.0245895,1,-999
19,gen=42_member=1237_de,0.801153,188.486,1,0.139612,0.0184781,0.0184781,1,-999
19,gen=58_member=224_de,0.775097,216.933,1,0.118518,0.0193005,0.0193005,1,-999
19,gen=49_member=1445_de,0.286408,356.642,1,0.114795,0.048496,0.048496,1,-999
19,gen=39_member=1165_de,0.0464861,452.91,1,0.100493,0.0258235,0.0258235,1,-999
19,gen=45_member=1330_de,0.26417,381.706,1,0.0879612,0.0267308,0.0267308,1,-999
19,gen=50_member=1475_de,0.0438649,489.635,1,0.0813362,0.0202472,0.0202472,1,-999
19,gen=60_member=276_de,0.321566,351.812,1,0.0725815,0.0633307,0.0633307,1,-999
19,gen=33_member=966_de,0.36641,341.361,1,0.0682439,0.0578686,0.0578686,1,-999
19,gen=17_member=502_de,0.335487,346.296,1,0.0679957,0.0810014,0.0810014,1,-999
19,gen=35_member=1039_de,0.771482,239.143,1,0.0664818,0.0191744,0.0191744,1,-999
19,gen=26_member=762_de,0.0677648,445.84,1,0.0513566,0.0218363,0.0218363,1,-999
19,gen=69_member=551_de,0.568721,289.96,1,0.0807443,0.0396589,0.0396589,1,-999
25,gen=30_member=870_de,0.899246,165.65,1,1e+30,0.00969974,0.00969974,1,-999
25,gen=40_member=1186_de,0.01,760.559,1,1e+30,0.00322947,0.00322947,1,-999
25,gen=55_member=143_de,0.0128918,672.121,1,0.383572,0.00452058,0.00452058,1,-999
25,gen=59_member=245_de,0.0329481,492.241,1,0.103831,0.0192323,0.0192323,1,-999
25,gen=43_member=1266_de,0.212021,438.868,1,0.292307,0.0180592,0.0180592,1,-999
25,gen=58_member=228_de,0.485215,309.278,1,0.257678,0.0293399,0.0293399,1,-999
25,gen=26_member=752_de,0.648865,266.745,1,0.238665,0.0337816,0.0337816,1,-999
25,gen=14_member=403_de,0.383804,338.022,1,0.187532,0.0325271,0.0325271,1,-999
25,gen=50_member=1480_de,0.75136,240.604,1,0.184285,0.0194717,0.0194717,1,-999
25,gen=20_member=588_de,0.076213,442.245,1,0.173942,0.0192323,0.0192323,1,-999
25,gen=58_member=216_de,0.250524,384.964,1,0.154729,0.0219285,0.0219285,1,-999
25,gen=42_member=1237_de,0.801153,188.486,1,0.139612,0.0124596,0.0124596,1,-999
25,gen=62_member=336_de,0.611911,289.296,1,0.129148,0.0197268,0.0197268,1,-999
25,gen=47_member=1388_de,0.546798,293.77,1,0.126379,0.0216209,0.0216209,1,-999
25,gen=58_member=224_de,0.775097,216.933,1,0.118518,0.0187675,0.0187675,1,-999
25,gen=49_member=1445_de,0.286408,356.642,1,0.114795,0.0369486,0.0369486,1,-999
25,gen=39_member=1165_de,0.0464861,452.91,1,0.100493,0.0241951,0.0241951,1,-999
25,gen=45_member=1330_de,0.26417,381.706,1,0.0879612,0.0236155,0.0236155,1,-999
25,gen=50_member=1475_de,0.0438649,489.635,1,0.0813362,0.0202472,0.0202472,1,-999
25,gen=69_member=551_de,0.568721,289.96,1,0.0807443,0.0199751,0.0199751,1,-999
25,gen=60_member=276_de,0.321566,351.812,1,0.0725815,0.0313532,0.0313532,1,-999
25,gen=33_member=966_de,0.36641,341.361,1,0.0682439,0.0293399,0.0293399,1,-999
25,gen=17_member=502_de,0.335487,346.296,1,0.0679957,0.0267308,0.0267308,1,-999
25,gen=35_member=1039_de,0.771482,239.143,1,0.0664818,0.0189906,0.0189906,1,-999
25,gen=26_member=762_de,0.0677648,445.84,1,0.0513566,0.0206605,0.0206605,1,-999
25,gen=75_member=740_de,0.0154097,532.369,1,0.324919,0.010855,0.010855,1,-999
27,gen=30_member=870_de,0.899246,165.65,1,1e+30,0.0126046,0.0126046,1,-999
27,gen=40_member=1186_de,0.01,760.559,1,1e+30,0.00322947,0.00322947,1,-999
27,gen=55_member=143_de,0.0128918,672.121,1,0.383572,0.00452058,0.00452058,1,-999
27,gen=75_member=740_de,0.0154097,532.369,1,0.324919,0.010855,0.010855,1,-999
27,gen=43_member=1266_de,0.212021,438.868,1,0.292307,0.0180592,0.0180592,1,-999
27,gen=58_member=228_de,0.485215,309.278,1,0.257678,0.0293399,0.0293399,1,-999
27,gen=26_member=752_de,0.648865,266.745,1,0.224087,0.0344522,0.0344522,1,-999
27,gen=14_member=403_de,0.383804,338.022,1,0.187532,0.0325271,0.0325271,1,-999
27,gen=50_member=1480_de,0.75136,240.604,1,0.0396606,0.0197268,0.0197268,1,-999
27,gen=20_member=588_de,0.076213,442.245,1,0.173942,0.0192323,0.0192323,1,-999
27,gen=58_member=216_de,0.250524,384.964,1,0.154729,0.0219285,0.0219285,1,-999
27,gen=42_member=1237_de,0.801153,188.486,1,0.139612,0.0176992,0.0176992,1,-999
27,gen=62_member=336_de,0.611911,289.296,1,0.129148,0.0206993,0.0206993,1,-999
27,gen=47_member=1388_de,0.546798,293.77,1,0.126379,0.0216209,0.0216209,1,-999
27,gen=58_member=224_de,0.775097,216.933,1,0.118518,0.0193005,0.0193005,1,-999
27,gen=49_member=1445_de,0.286408,356.642,1,0.114795,0.0369486,0.0369486,1,-999
27,gen=59_member=245_de,0.0329481,492.241,1,0.103831,0.0192323,0.0192323,1,-999
27,gen=39_member=1165_de,0.0464861,452.91,1,0.100493,0.0241951,0.0241951,1,-999
27,gen=45_member=1330_de,0.26417,381.706,1,0.0879612,0.0236155,0.0236155,1,-999
27,gen=50_member=1475_de,0.0438649,489.635,1,0.0813362,0.0202472,0.0202472,1,-999
27,gen=69_member=551_de,0.568721,289.96,1,0.0807443,0.0204187,0.0204187,1,-999
27,gen=60_member=276_de,0.321566,351.812,1,0.0725815,0.0313532,0.0313532,1,-999
27,gen=33_member=966_de,0.36641,341.361,1,0.0682439,0.0293399,0.0293399,1,-999
27,gen=17_member=502_de,0.335487,346.296,1,0.0679957,0.0267308,0.0267308,1,-999
27,gen=35_member=1039_de,0.771482,239.143,1,0.0664818,0.0191744,0.0191744,1,-999
27,gen=26_member=762_de,0.0677648,445.84,1,0.0513566,0.0206605,0.0206605,1,-999
27,gen=77_member=788_de,0.741957,242.985,1,0.159202,0.0206993,0.0206993,1,-999
28,gen=30_member=870_de,0.899246,165.65,1,1e+30,0.0126046,0.0126046,1,-999
28,gen=40_member=1186_de,0.01,760.559,1,1e+30,0.00366402,0.00366402,1,-999
28,gen=55_member=143_de,0.0128918,672.121,1,0.383572,0.00542046,0.00542046,1,-999
28,gen=75_member=740_de,0.0154097,532.369,1,0.324919,0.0112957,0.0112957,1,-999
28,gen=43_member=1266_de,0.212021,438.868,1,0.292307,0.0188609,0.0188609,1,-999
28,gen=58_member=228_de,0.485215,309.278,1,0.257678,0.0293399,0.0293399,1,-999
28,gen=26_member=752_de,0.648865,266.745,1,0.224087,0.0344522,0.0344522,1,-999
28,gen=14_member=403_de,0.383804,338.022,1,0.187532,0.0325271,0.0325271,1,-999
28,gen=20_member=588_de,0.076213,442.245,1,0.173942,0.0201442,0.0201442,1,-999
28,gen=77_member=788_de,0.741957,242.985,1,0.159202,0.0206993,0.0206993,1,-999
28,gen=58_member=216_de,0.250524,384.964,1,0.154729,0.0219285,0.0219285,1,-999
28,gen=42_member=1237_de,0.801153,188.486,1,0.139612,0.0176992,0.0176992,1,-999
28,gen=62_member=336_de,0.611911,289.296,1,0.129148,0.0206993,0.0206993,1,-999
28,gen=47_member=1388_de,0.546798,293.77,1,0.126379,0.0216209,0.0216209,1,-999
28,gen=58_member=224_de,0.775097,216.933,1,0.118518,0.0193005,0.0193005,1,-999
28,gen=49_member=1445_de,0.286408,356.642,1,0.114795,0.0369486,0.0369486,1,-999
28,gen=59_member=245_de,0.0329481,492.241,1,0.107501,0.0206605,0.0206605,1,-999
28,gen=39_member=1165_de,0.0464861,452.91,2,1e+30,0.0256561,0.0256561,1,-999
28,gen=45_member=1330_de,0.26417,381.706,1,0.0879612,0.0236155,0.0236155,1,-999
28,gen=50_member=1475_de,0.0438649,489.635,2,1e+30,0.0218363,0.0218363,1,-999
28,gen=69_member=551_de,0.568721,289.96,1,0.0807443,0.0204187,0.0204187,1,-999
